         1731171 function calls (1687584 primitive calls) in 168.502 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3392    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
     3141    0.011    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     4800    0.067    0.000   34.769    0.007 <frozen importlib._bootstrap_external>:1431(find_spec)
      425    0.004    0.000    0.326    0.001 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      424    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
     5778    0.032    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     4800    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
     3128    0.007    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:436(_calc_mode)
2891/2890    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:46(_pack_uint32)
     2887    0.016    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     8661    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
     2887    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
     2887    0.011    0.000    0.384    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:591(_code_to_timestamp_pyc)
    26975    0.035    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     3141    0.017    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
    26975    0.027    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     5784    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:766(is_package)
     2889    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
   2889/1    0.012    0.000  168.516  168.516 <frozen importlib._bootstrap_external>:777(exec_module)
    14633    0.017    0.000   34.387    0.002 <frozen importlib._bootstrap_external>:80(_path_stat)
        2    0.000    0.000    0.007    0.004 <frozen importlib._bootstrap_external>:841(source_to_code)
     2889    0.060    0.000   87.466    0.030 <frozen importlib._bootstrap_external>:849(get_code)
     6518    0.016    0.000   34.167    0.005 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     2902    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:939(__init__)
     2890    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
     2891    0.540    0.000   86.815    0.030 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:980(get_resource_reader)
     6090    0.006    0.000   34.166    0.006 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:990(resource_path)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:996(is_resource)
       90    0.000    0.000    0.001    0.000 <frozen zipimport>:109(find_loader)
      180    0.000    0.000    0.000    0.000 <frozen zipimport>:308(_get_module_path)
       90    0.000    0.000    0.000    0.000 <frozen zipimport>:312(_is_dir)
       90    0.000    0.000    0.000    0.000 <frozen zipimport>:321(_get_module_info)
      424    0.003    0.000    0.016    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        5    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.156    0.156 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:492(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.000    0.000 Image.py:2557(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2566(ImageTransformHandler)
        1    0.000    0.000    1.647    1.647 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3258(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3294(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:462(_E)
        1    0.000    0.000    0.000    0.000 Image.py:503(Image)
        1    0.000    0.000    0.000    0.000 Image.py:91(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:95(DecompressionBombError)
        1    0.000    0.000    1.782    1.782 ImageEnhance.py:21(<module>)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:24(_Enhance)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:39(Color)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:57(Contrast)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:74(Brightness)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:90(Sharpness)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:103(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:118(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:133(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:151(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:166(BoxBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:187(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:20(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:213(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:226(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:237(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:24(MultibandFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:248(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:259(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:270(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:28(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:281(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:292(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:303(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:314(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:327(Color3DLUT)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:35(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:64(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:88(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
