,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate
3420,342000.0,2.6801817417144775,5.5587429415027145e-06,2.884649741297096e-10,7.963419257350779e-09,5.359368969948264e-06,3.215389733668417e-05
3421,342100.0,2.81970477104187,7.5481048043002374e-06,6.101747995757023e-10,9.228933350868829e-08,5.24026108905673e-06,3.212159208487719e-05
3422,342200.0,2.825618028640747,5.067149231763324e-06,5.028849003885227e-10,1.2870278176535521e-08,4.744889338326175e-06,3.2089326850837097e-05
3423,342300.0,2.7788853645324707,6.009493972669588e-06,2.8765141379949455e-09,3.116181090945247e-08,5.227571818977594e-06,3.205709072062746e-05
3424,342400.0,2.8280816078186035,5.021398010285338e-06,2.2567234747583598e-09,1.0415837081723112e-08,4.7587450353603344e-06,3.2024883694248274e-05
3425,342500.0,2.63468599319458,6.020794444339117e-06,4.743946346863481e-10,1.556780127032198e-08,5.631125077343313e-06,3.199272396159358e-05
3426,342600.0,2.5558183193206787,5.063644039182691e-06,1.3082235295058808e-09,1.4006355186779729e-08,4.712177087640157e-06,3.196058241883293e-05
3427,342700.0,2.7067034244537354,4.9998288886854425e-06,4.980005852139868e-10,1.2260265025432204e-09,4.968680059391772e-06,3.1928477255860344e-05
3428,342800.0,2.7302799224853516,4.874789738096297e-06,9.315990201486102e-10,1.0582574816453416e-09,4.847401669394458e-06,3.1896401196718216e-05
3429,342900.0,2.7542848587036133,9.000928912428208e-06,4.339220982529923e-09,1.5753259674511355e-07,5.058274837210774e-06,3.186435787938535e-05
3430,343000.0,2.6918091773986816,5.867255367775215e-06,3.6509864020928262e-09,7.730759143953492e-09,5.6703352129261475e-06,3.1832358217798173e-05
3431,343100.0,2.912895917892456,1.026081372401677e-05,2.8813802455118775e-09,2.1072675338018598e-07,4.989763965568272e-06,3.180038038408384e-05
3432,343200.0,2.733142852783203,5.653773769154213e-06,3.423581973471812e-10,3.807844706216201e-09,5.558235443459125e-06,3.1768435292178765e-05
3433,343300.0,2.7361831665039062,4.616376372723607e-06,4.149154075872019e-10,1.6332342145375378e-09,4.575130787998205e-06,3.173651566612534e-05
3434,343400.0,2.8217945098876953,6.381265848176554e-06,5.200572195107611e-10,4.4433853929604084e-08,5.2698992476507556e-06,3.17046360578388e-05
3435,343500.0,2.5634818077087402,6.594532806047937e-06,2.5514024226680476e-10,1.0245930770480527e-09,6.568662684003357e-06,3.1672792829340324e-05
3436,343600.0,2.6145083904266357,1.6866788428160362e-05,3.671888071377083e-10,4.819621608476155e-07,4.8173665163631085e-06,3.16409750666935e-05
