,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate,r2
0,0,6.1272687911987305,3285.1138,0.42261714,129.40968,49.44888,0.0009999899,-2.1673483103590323
1,100,3.3121566772460938,5.4169755,0.0017101032,0.21631606,0.0073643485,0.0009989855,-0.7457013590037036
2,200,2.934131145477295,0.69273084,3.2003656e-05,0.027609698,0.0024563575,0.000997982,0.07255759881311785
3,300,2.8880865573883057,5.371761,0.0010491089,0.21469048,0.0034499238,0.0009969795,0.05523880120550806
4,400,2.9955835342407227,9.753627,0.00036681848,0.3900613,0.0017271055,0.0009959779,0.047158284021043495
5,500,2.97637677192688,4.190585,0.00022393525,0.16756004,0.001360155,0.0009949774,0.09522255397667345
6,600,2.9792792797088623,0.60503864,3.0939907e-05,0.024130479,0.0017457339,0.000993978,0.08343808813349574
7,700,2.9460647106170654,9.599296,0.00051150133,0.38388675,0.0016157315,0.0009929795,0.07569813070177278
8,800,2.9986495971679688,0.77240115,3.5217974e-05,0.03085157,0.0010766266,0.0009919821,0.08185817577596421
9,900,2.9584109783172607,0.19952936,2.4387802e-05,0.007929799,0.0012599935,0.0009909855,0.10099919964992354
10,1000,2.760164976119995,1.1668328,0.00010591036,0.04661749,0.0012897304,0.0009899901,0.10805347061608761
11,1100,2.909273624420166,0.90377253,9.3083414e-05,0.036094904,0.0013068052,0.0009889957,0.11579678909040958
12,1200,2.5706379413604736,0.33779567,3.0460218e-05,0.013462764,0.0011961048,0.0009880022,0.10158042901944997
13,1300,2.7085368633270264,0.7374702,7.86538e-05,0.029452961,0.00106754,0.0009870096,0.1143270926208565
14,1400,2.7294373512268066,0.15396367,2.0531737e-05,0.006113423,0.0011075635,0.0009860182,0.10348801822566178
15,1500,2.88811993598938,0.7696313,7.5406926e-05,0.030734958,0.0011819707,0.0009850276,0.11599244864318603
16,1600,2.964945077896118,0.57344013,6.0116745e-05,0.022879535,0.0013915832,0.0009840382,0.1145761861045903
17,1700,2.9594202041625977,0.21546292,2.7435442e-05,0.008569942,0.0011869414,0.0009830497,0.11313897168934839
18,1800,2.8903908729553223,0.2257594,2.6246464e-05,0.008987046,0.0010570153,0.0009820622,0.11088135951653721
19,1900,2.9785263538360596,0.80647933,9.120605e-05,0.032214556,0.001024248,0.0009810757,0.1199879948679009
20,2000,2.910587787628174,0.90737325,8.846295e-05,0.036252324,0.00097667,0.0009800902,0.13208407801728295
21,2100,2.938244104385376,0.85232437,7.530746e-05,0.034036443,0.0013379909,0.0009791057,0.13423189072388897
22,2200,2.9437880516052246,0.36565155,5.288944e-05,0.014588808,0.0008784512,0.0009781221,0.13417808162775557
23,2300,2.862865447998047,0.49707204,4.7984748e-05,0.019841598,0.0009840917,0.0009771396,0.1382876451163504
24,2400,2.8296780586242676,0.41296333,3.8827053e-05,0.016471991,0.0011246984,0.000976158,0.13482714129352236
25,2500,2.818470001220703,0.36481246,2.459263e-05,0.014550144,0.0010342962,0.0009751774,0.1333003236937076
26,2600,2.8446476459503174,0.38936022,2.7502396e-05,0.015523651,0.00124146,0.0009741979,0.13182337604432226
27,2700,2.964473009109497,0.82378125,5.4750097e-05,0.032899108,0.0012487553,0.0009732192,0.1562743180995232
28,2800,2.898851156234741,0.5093695,5.8970945e-05,0.020335503,0.00092298555,0.0009722416,0.14183473084056208
