,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate,r2
0,0,6.060728311538696,689.15607,0.06308899,27.55088,0.32089397,0.0009999899,-1.971434954075205
1,100,3.119037628173828,1.682944,0.014905695,0.06483649,0.04712621,0.0009989855,-2.462734561610115
2,200,2.7631680965423584,0.6526919,0.013047596,0.024360001,0.030644307,0.000997982,-2.296455353564606
3,300,2.4480443000793457,0.4585828,0.012349519,0.017024556,0.020619359,0.0009969795,-2.024664302475562
4,400,2.555635690689087,0.37296444,0.011510009,0.013801486,0.016417261,0.0009959779,-1.8378832060395824
5,500,2.5303027629852295,0.29175052,0.010347803,0.010602301,0.016345158,0.0009949774,-1.6452156597342782
6,600,2.4543254375457764,0.18619975,0.00415744,0.0067921686,0.012238107,0.000993978,-1.5340588429937863
7,700,2.4365413188934326,0.13336188,0.002539492,0.0047120973,0.013019955,0.0009929795,-1.4072488923978357
8,800,2.4364614486694336,0.10235429,0.0021439758,0.0035343762,0.011850909,0.0009919821,-1.3811496985202547
9,900,2.438178777694702,0.077769935,0.0031365152,0.0025553035,0.010750827,0.0009909855,-1.3071266861208088
10,1000,2.6049888134002686,0.083729565,0.0024516843,0.002838054,0.010326537,0.0009899901,-1.2028628656493132
11,1100,2.7408974170684814,0.07846485,0.002999435,0.002648974,0.00924107,0.0009889957,-1.2132720850409906
12,1200,2.6981699466705322,0.07205379,0.0023435666,0.0024128673,0.009388542,0.0009880022,-1.1660446812539842
13,1300,2.82816219329834,0.066380136,0.002344953,0.0021962759,0.009128287,0.0009870096,-1.16318866877844
14,1400,2.8649556636810303,0.06605312,0.002437303,0.0021857976,0.008970883,0.0009860182,-1.1573940095952477
15,1500,2.666945457458496,0.086010635,0.002113146,0.003014948,0.0085237855,0.0009850276,-1.144362445185422
16,1600,2.802729368209839,0.05879028,0.002921188,0.0019081222,0.008166039,0.0009840382,-1.1254641558405498
17,1700,2.830888032913208,0.04546791,0.002684309,0.0014056031,0.0076435204,0.0009830497,-1.0766777425424796
18,1800,2.8500773906707764,0.049658492,0.0023804386,0.0015826555,0.007711668,0.0009820622,-1.0583051732450968
19,1900,2.7512829303741455,0.042223804,0.0019636436,0.0013129225,0.007437097,0.0009810757,-0.9994001226575606
20,2000,2.7488043308258057,0.04492324,0.0022986096,0.0014235531,0.007035804,0.0009800902,-1.001032924280679
21,2100,2.794951915740967,0.08290916,0.002306725,0.0029498974,0.006855002,0.0009791057,-0.9366798279696489
22,2200,2.627175807952881,0.087090366,0.0017171013,0.00313013,0.0071200174,0.0009781221,-0.9201858555044242
23,2300,2.8464627265930176,0.08402928,0.0019668092,0.003022897,0.006490041,0.0009771396,-0.8771135527120728
24,2400,2.942633867263794,0.08263306,0.001619593,0.0029820157,0.0064630806,0.000976158,-0.8620745183706433
25,2500,2.7436256408691406,0.058348954,0.0014806992,0.0020353391,0.0059847776,0.0009751774,-0.8346032413224038
26,2600,2.6934924125671387,0.085097626,0.0017767508,0.0030945046,0.005958267,0.0009741979,-0.8073751025465612
27,2700,2.7975103855133057,0.08533424,0.0016602492,0.003116712,0.0057561905,0.0009732192,-0.785007201038225
28,2800,2.802783489227295,0.06738893,0.00217388,0.002397756,0.0052711517,0.0009722416,-0.7765764534252038
29,2900,2.9193577766418457,0.12192627,0.0019428786,0.004594633,0.005117569,0.000971265,-0.794794582376529
30,3000,3.076895236968994,0.04615626,0.0017030152,0.0015720476,0.005152053,0.00097028934,-0.7000668874171116
31,3100,3.21175217628479,0.0275938,0.0010071343,0.0008404355,0.005575779,0.00096931454,-0.7049812813164558
32,3200,2.8564436435699463,0.11517892,0.0013524297,0.004362997,0.0047515654,0.0009683409,-0.6796032035349926
33,3300,2.830437421798706,0.26101947,0.0013696662,0.010194186,0.004795169,0.0009673682,-0.6385003698884364
34,3400,2.8688483238220215,0.041234143,0.00093421224,0.0014147006,0.004932414,0.0009663964,-0.6671716891971495
35,3500,2.86147141456604,0.6029116,0.0014026142,0.023895497,0.004121545,0.00096542574,-0.6297497474053968
36,3600,2.6902225017547607,0.035029233,0.0012756842,0.0011743334,0.004395213,0.0009644559,-0.5728573885164558
37,3700,2.940866231918335,0.04041727,0.0013108791,0.0013976772,0.004164461,0.0009634871,-0.5706162754467121
38,3800,3.0678367614746094,0.093505286,0.0010532972,0.0035505684,0.0036877878,0.00096251926,-0.5535920904564473
39,3900,3.0706753730773926,0.02098261,0.0011690848,0.00064984075,0.003567506,0.0009615524,-0.5329518954184487
40,4000,2.7225048542022705,0.026584152,0.00085434597,0.0008838196,0.0036343145,0.0009605864,-0.4947466222174757
41,4100,2.8324553966522217,0.022380725,0.0009931786,0.00071804185,0.0034364976,0.00095962145,-0.48286295805989243
42,4200,2.804145336151123,0.05519731,0.00077052176,0.0020509528,0.0031529698,0.0009586575,-0.4330709631040719
43,4300,2.8090310096740723,0.016695822,0.00056178245,0.0005135424,0.0032954798,0.00095769454,-0.4332059917574873
44,4400,2.8328499794006348,0.026319416,0.0006510679,0.00090140075,0.0031333307,0.0009567325,-0.4063555377121413
45,4500,2.9122729301452637,0.024060696,0.0004145103,0.0008336603,0.0028046772,0.0009557714,-0.394961231229765
46,4600,2.9240410327911377,0.017763054,0.00046656848,0.0005827882,0.0027267803,0.00095481134,-0.3762156444202305
47,4700,2.7439498901367188,0.024064625,0.00036525208,0.0008465019,0.0025368265,0.0009538522,-0.3657559920146263
48,4800,2.7994158267974854,0.021955576,0.00037589576,0.00074905617,0.0028532762,0.00095289404,-0.35225023011055123
49,4900,2.745713233947754,0.25305974,0.00023481941,0.010010531,0.0025616577,0.0009519368,-0.3310847280565308
50,5000,2.720285177230835,0.018127846,0.00029661605,0.00062359025,0.0022414722,0.0009509805,-0.3317780406945521
51,5100,2.6626036167144775,0.12468809,0.00028058205,0.004882181,0.0023529804,0.0009500252,-0.30855652655886634
52,5200,2.8213272094726562,0.014522407,0.00019150187,0.00048101996,0.0023054066,0.0009490709,-0.30125901793332743
53,5300,3.0604965686798096,0.012195589,0.00014684675,0.0003944282,0.002188036,0.0009481176,-0.2876756950880808
54,5400,2.9269590377807617,0.035950087,0.00018933414,0.0013391942,0.0022808998,0.0009471651,-0.26575622764704554
55,5500,2.952712297439575,0.009962308,0.00014927522,0.0003106682,0.0020463283,0.0009462137,-0.2868053489323923
56,5600,3.0015676021575928,0.024734175,9.120255e-05,0.00089764566,0.0022018305,0.00094526325,-0.27405392743648704
57,5700,2.6803319454193115,0.012950862,8.844967e-05,0.00043817892,0.0019079396,0.00094431377,-0.296620706898991
58,5800,2.844717264175415,0.021251682,7.499925e-05,0.0007671286,0.001998467,0.00094336516,-0.2634236913733701
59,5900,2.834733486175537,0.02082513,8.129514e-05,0.00075315265,0.0019150192,0.0009424174,-0.24346713337741077
60,6000,2.786381483078003,0.008295291,7.001237e-05,0.0002646438,0.0016091836,0.0009414708,-0.23889141568700833
61,6100,2.901338815689087,0.040440314,5.1576935e-05,0.0015399832,0.0018891586,0.00094052503,-0.22980121560899103
62,6200,2.711244821548462,0.11413706,4.5281027e-05,0.004488831,0.0018710055,0.00093958026,-0.23597856763253433
