,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate,r2
0,0,2.537053108215332,2606.6172,0.094366886,104.260185,0.018132357,0.0009999899,-2.2499110816497776
1,100,1.8230633735656738,17.216713,0.0003910223,0.68575895,0.07234679,0.0009989855,-1.675937838398803
2,200,1.5801832675933838,3.5294423,0.00028328123,0.13974862,0.035443615,0.000997982,-1.214639019902135
3,300,1.5636229515075684,2.0331635,0.0003392188,0.07992813,0.034621067,0.0009969795,-1.2039021902934004
4,400,1.5028650760650635,1.4444335,0.0003188095,0.05653545,0.030728506,0.0009959779,-1.09170760524849
5,500,1.5771982669830322,0.85925025,0.00027964488,0.033506386,0.021310948,0.0009949774,-0.9910261088746399
6,600,1.5793261528015137,0.6377383,0.0002314659,0.02471735,0.019573076,0.000993978,-0.8403085815158557
7,700,1.5758624076843262,0.5111842,0.00020472563,0.01973757,0.017540244,0.0009929795,-0.8229753634185142
8,800,1.5880839824676514,0.41730157,0.00016049943,0.01597128,0.017859077,0.0009919821,-0.8550887831976357
9,900,1.5884366035461426,0.3399415,0.00014525742,0.012891452,0.017509941,0.0009909855,-0.8850618837380753
10,1000,1.5802586078643799,0.31025887,0.00014549124,0.011770904,0.015840763,0.0009899901,-0.864173977990693
11,1100,1.7230098247528076,0.26665846,0.00010537997,0.0100383395,0.015594579,0.0009889957,-0.8639564224995053
12,1200,1.6872880458831787,0.22154412,0.000117595875,0.008234556,0.015562621,0.0009880022,-0.8436556842389469
13,1300,1.6185882091522217,0.21564361,0.00011160903,0.0079214275,0.017496321,0.0009870096,-0.8953111256303883
14,1400,1.5786502361297607,0.19663417,8.8118184e-05,0.007227139,0.015867572,0.0009860182,-0.8432291211910412
15,1500,1.5861246585845947,0.19311306,8.28537e-05,0.0070775724,0.016090903,0.0009850276,-0.8382625809036386
16,1600,1.5987694263458252,0.17107956,9.099603e-05,0.00614578,0.017344052,0.0009840382,-0.8615899307476882
17,1700,1.5286977291107178,0.14726436,7.445624e-05,0.0052126152,0.01687452,0.0009830497,-0.8256720466907566
18,1800,1.522395372390747,0.111430675,5.9217655e-05,0.003881725,0.014328331,0.0009820622,-0.8131351464202825
19,1900,1.5486481189727783,0.12489191,5.250401e-05,0.004401386,0.014804756,0.0009810757,-0.815415310280794
20,2000,1.5231924057006836,0.11115289,4.469326e-05,0.0038507283,0.014839984,0.0009800902,-0.8030480769782569
21,2100,1.6981418132781982,0.10219896,4.1959836e-05,0.0035167495,0.0142382635,0.0009791057,-0.8161942902851111
22,2200,1.565162181854248,0.09763091,3.3264107e-05,0.0033507957,0.013827745,0.0009781221,-0.8376755901411932
23,2300,1.635892629623413,0.09711934,3.3603974e-05,0.0033268845,0.013913624,0.0009771396,-0.7898657716551998
24,2400,1.588045597076416,0.09130612,3.530062e-05,0.0029418874,0.017723635,0.000976158,-0.29087298558573127
25,2500,1.5084805488586426,0.07999702,1.4915442e-05,0.0024623012,0.01842457,0.0009751774,-0.1305808957217105
