,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate,r2
0,0,2.708772897720337,2611.737,0.17585905,104.460976,0.036790375,0.0009999899,-0.22601902774131766
1,100,1.8089878559112549,10.906001,4.753244e-06,0.43623966,4.4715516e-06,0.0009989855,-0.0114304280450237
2,200,1.600132703781128,10.667111,6.792608e-07,0.42668438,7.068853e-07,0.000997982,-0.021553743558684335
3,300,1.5819692611694336,11.000927,1.8224075e-06,0.44003692,1.8349778e-06,0.0009969795,-0.019699017482982306
4,400,1.6248438358306885,11.094026,7.549e-07,0.44376093,5.75336e-07,0.0009959779,-0.02309402096368962
5,500,1.6152637004852295,9.871411,4.940497e-06,0.3948558,1.1196283e-05,0.0009949774,-0.01805418670615988
6,600,1.631587266921997,2.6281614,0.0006572389,0.10502282,0.0019334698,0.000993978,-0.004497405097362073
7,700,1.6238915920257568,2.5667393,0.00053017266,0.10258142,0.0016736382,0.0009929795,0.002763559846819974
8,800,1.6519620418548584,1.8527948,3.1116815e-05,0.074078485,0.00080155215,0.0009919821,0.04034202265888409
9,900,1.616762399673462,1.043641,4.573922e-06,0.041709755,0.0008924943,0.0009909855,0.05065828887890911
10,1000,1.5129485130310059,0.79007244,1.2307446e-06,0.031572342,0.00076266663,0.0009899901,0.05686519098025844
11,1100,1.7346713542938232,0.668548,5.591734e-06,0.026711328,0.00075921044,0.0009889957,0.05256081128277301
12,1200,1.6450884342193604,0.5566873,2.0988348e-06,0.022239927,0.0006870212,0.0009880022,0.051890487410329755
13,1300,1.620321273803711,0.3879308,1.0490398e-06,0.015490597,0.0006648404,0.0009870096,0.05846913531400166
14,1400,1.6431760787963867,0.3894054,1.4456423e-06,0.015550775,0.0006345524,0.0009860182,0.06341862102467644
15,1500,1.5440623760223389,0.268363,7.3985166e-07,0.010708552,0.00064846105,0.0009850276,0.06656624817289214
16,1600,1.6363637447357178,0.20890655,2.0495654e-06,0.008329509,0.0006667611,0.0009840382,0.060882953156571995
17,1700,1.6469664573669434,0.13301554,1.0891484e-06,0.005289912,0.0007666506,0.0009830497,0.06301990216449582
18,1800,1.6443252563476562,0.07200436,2.7550568e-06,0.0028481805,0.00079708925,0.0009820622,0.07414736619012963
19,1900,1.6441924571990967,0.05469948,2.3244106e-06,0.002154845,0.0008260319,0.0009810757,0.07714953867408514
20,2000,1.6229004859924316,0.05090045,2.2285556e-06,0.002001644,0.00085712335,0.0009800902,0.07791782954272608
21,2100,1.8270504474639893,0.05678252,1.2143339e-06,0.0022384387,0.0008203379,0.0009791057,0.08017014713226678
22,2200,1.7388756275177002,0.04401021,1.550062e-06,0.0017289656,0.0007845238,0.0009781221,0.07490357171941331
23,2300,1.5883102416992188,0.04444729,9.699686e-07,0.0017461457,0.0007926839,0.0009771396,0.07352970002293435
24,2400,1.722808599472046,0.03937072,1.0086108e-06,0.0015413795,0.00083522056,0.000976158,0.0705717200899908
25,2500,1.7052810192108154,0.029586505,1.3600488e-06,0.0011511149,0.00080727134,0.0009751774,0.07803367872461497
26,2600,1.7510910034179688,0.039134312,8.664289e-07,0.0015312701,0.000851691,0.0009741979,0.07453783878781006
27,2700,1.7699964046478271,0.043701112,9.946252e-07,0.001713171,0.0008708443,0.0009732192,0.073719819502569
28,2800,1.6012284755706787,0.04238235,2.7834758e-06,0.0016632574,0.0007981319,0.0009722416,0.0655204224238195
29,2900,1.6927928924560547,0.03329228,2.9288842e-06,0.0012993516,0.00080556044,0.000971265,0.06655859157454602
30,3000,1.7617161273956299,0.02630633,9.1658507e-07,0.0010194388,0.00081944163,0.00097028934,0.07196909983001076
31,3100,1.8771684169769287,0.03206504,9.716798e-07,0.0012465117,0.00090127764,0.00096931454,0.06498568304780183
32,3200,1.6173937320709229,0.033700805,4.2598694e-07,0.0013139552,0.00085150136,0.0009683409,0.06351807419627598
33,3300,1.7166764736175537,0.02422465,1.4921658e-06,0.0009352581,0.00084170594,0.0009673682,0.06418089979489938
34,3400,1.6787543296813965,0.027441964,8.5653693e-07,0.0010630545,0.00086474285,0.0009663964,0.06527184777968553
35,3500,1.630882740020752,0.02927184,6.9345737e-07,0.0011379215,0.0008231108,0.00096542574,0.06657430961240329
36,3600,1.607743263244629,0.026163826,6.5720684e-07,0.0010128259,0.0008425215,0.0009644559,0.06522593578348757
37,3700,1.5946600437164307,0.022451963,6.635903e-07,0.0008627527,0.0008824814,0.0009634871,0.06606325234651955
38,3800,1.611097812652588,0.02231875,2.6918117e-06,0.0008609415,0.0007925218,0.00096251926,0.06616898392532389
39,3900,1.6023409366607666,0.01902966,3.5065176e-07,0.0007246237,0.00091371936,0.0009615524,0.06029922276889399
40,4000,1.5923192501068115,0.026437595,2.0014159e-06,0.0010221658,0.00088144897,0.0009605864,0.06011979965571268
41,4100,1.7545924186706543,0.021708157,8.5761195e-07,0.00083364383,0.00086620514,0.00095962145,0.05986284984426471
42,4200,1.5429081916809082,0.028929813,1.1306141e-06,0.0011209057,0.0009060391,0.0009586575,0.06519840945631328
43,4300,1.5491085052490234,0.019419577,1.5213922e-06,0.0007422627,0.00086148764,0.00095769454,0.05836422395072571
44,4400,1.5564069747924805,0.017962461,3.4495216e-07,0.00068248017,0.0009001123,0.0009567325,0.062355615123930175
45,4500,1.5574452877044678,0.027236702,5.9220624e-06,0.0010549807,0.00085626286,0.0009557714,0.06290977633951234
46,4600,1.5458495616912842,0.017078556,1.8606888e-06,0.00064667035,0.0009099375,0.00095481134,0.06040583399440813
47,4700,1.5445446968078613,0.016201515,5.1294626e-07,0.0006122821,0.0008939499,0.0009538522,0.060367782175130724
48,4800,1.5488736629486084,0.014415804,3.9425325e-07,0.0005401182,0.000912455,0.00095289404,0.05872277917692725
49,4900,1.547333002090454,0.023928445,5.7838324e-06,0.00092268083,0.000855641,0.0009519368,0.05897801137089842
50,5000,1.7348449230194092,0.014463042,1.3071074e-06,0.00054462504,0.00084610976,0.0009509805,0.05647897006426661
51,5100,1.6673274040222168,0.015419787,4.4059288e-07,0.0005786467,0.00095317815,0.0009500252,0.05816253766587942
52,5200,1.5596139430999756,0.021366602,1.4960431e-06,0.0008192421,0.00088405353,0.0009490709,0.05945521583921931
53,5300,1.587663173675537,0.015896618,6.13899e-07,0.00060157955,0.00085651525,0.0009481176,0.05534053261957361
