,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate,r2
0,0,2.441399335861206,2608.283,0.12505731,104.32541,0.022664485,0.0009999899,-1.5460509976653616
1,100,1.7927725315093994,5.884267,0.00012701654,0.23268643,0.066979185,0.0009989855,-2.6145708976620314
2,200,1.557772159576416,3.2078786,0.000112594185,0.12622873,0.05204774,0.000997982,-1.6447639267081717
3,300,1.605050802230835,2.204104,6.912159e-05,0.086380854,0.04451352,0.0009969795,-1.6784416420008381
4,400,1.6286735534667969,1.9103264,8.424206e-05,0.07441521,0.049861882,0.0009959779,-1.8016963244377147
5,500,1.6003773212432861,1.1709691,0.00011225189,0.045126233,0.04270106,0.0009949774,-1.883388102488727
6,600,1.6000475883483887,0.8547071,9.0811125e-05,0.032140184,0.0511117,0.000993978,-1.9797453158244402
7,700,1.6294593811035156,0.7896445,7.613545e-05,0.029939815,0.041072972,0.0009929795,-1.897196704228712
8,800,1.6320610046386719,0.6047509,7.760194e-05,0.022695793,0.037278477,0.0009919821,-1.6875697209770144
9,900,1.6217260360717773,0.49943236,0.00010005121,0.017658453,0.05787098,0.0009909855,-1.5602319150504202
10,1000,1.6162447929382324,0.41508442,0.00014059915,0.014519258,0.051962353,0.0009899901,-1.427572741324981
11,1100,1.7424969673156738,0.36535606,0.00015118472,0.013117082,0.037277818,0.0009889957,-1.1839015829596908
12,1200,1.601073980331421,0.3143884,2.1942787e-05,0.011057527,0.03792828,0.0009880022,-1.0526469225576474
13,1300,1.5409307479858398,0.29934928,5.819739e-06,0.010399533,0.039355125,0.0009870096,-0.9919642739465808
14,1400,1.6172113418579102,0.24613695,1.10933515e-05,0.008369863,0.036879286,0.0009860182,-0.9872015743567188
15,1500,1.6100032329559326,0.24324934,2.0493571e-06,0.008209844,0.038001176,0.0009850276,-0.9075475461312315
16,1600,1.5748159885406494,0.26392093,4.0771383e-06,0.007821014,0.068391494,0.0009840382,-0.9025544390587439
17,1700,1.6154224872589111,0.20262113,4.6867926e-06,0.006576999,0.038191468,0.0009830497,-0.902143263706433
18,1800,1.5653855800628662,0.18584257,4.0471264e-06,0.0061234473,0.032752343,0.0009820622,-0.8304139534359063
19,1900,1.568054437637329,0.15044616,5.2644673e-06,0.004457883,0.038993835,0.0009810757,-0.8596034826619725
20,2000,1.5308787822723389,0.16113447,4.6933046e-06,0.004849057,0.03990334,0.0009800902,-0.7924346442630161
21,2100,1.6842710971832275,0.13552983,2.5948095e-06,0.004077385,0.03359261,0.0009791057,-0.7588331187698061
22,2200,1.5740644931793213,0.14221068,4.461913e-06,0.003519942,0.05420767,0.0009781221,-0.7178481963561991
23,2300,1.551748275756836,0.12700425,1.0601336e-05,0.00363488,0.036121644,0.0009771396,-0.7538827791615281
24,2400,1.5992498397827148,0.15357043,4.9549853e-06,0.0043030893,0.045988224,0.000976158,-0.6762686027787903
25,2500,1.6113388538360596,0.12536585,1.06096995e-05,0.0031972907,0.045422982,0.0009751774,-0.6455111811134377
26,2600,1.5381481647491455,0.17435329,1.2619554e-05,0.0033296032,0.09110059,0.0009741979,-0.6220048349027354
27,2700,1.583916187286377,0.1540801,4.586759e-06,0.003133184,0.0757459,0.0009732192,-0.5613653838960868
28,2800,1.606017827987671,0.123702414,2.5867587e-06,0.0030283283,0.047991622,0.0009722416,-0.5511171754899689
29,2900,1.7194416522979736,0.096274786,1.2179387e-06,0.0025141325,0.033420257,0.000971265,-0.48196162220778427
30,3000,1.673158884048462,0.08805427,3.6366453e-06,0.0023428206,0.029480118,0.00097028934,-0.45686873610662504
31,3100,1.8910279273986816,0.08660207,1.0022076e-05,0.0024841079,0.024489354,0.00096931454,-0.4569655990699837
