,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate,r2
0,0,7.147967576980591,998.7041,0.037734758,39.853386,2.3317223,0.0009999899,-1.951746032774639
1,100,1.9484162330627441,76.02319,0.014941273,2.0454879,24.871058,0.0009989855,-3.3654466152177758
2,200,1.5911495685577393,72.53963,0.020557504,2.2425833,16.454485,0.000997982,-5.528655264204285
3,300,1.5961072444915771,101.06055,0.024966678,2.767416,31.850185,0.0009969795,-4.8492553826243405
4,400,1.6053574085235596,88.48398,0.01656265,2.6810582,21.440966,0.0009959779,-3.8904609345640555
5,500,1.6079843044281006,57.86656,0.0155335935,1.2038436,27.75494,0.0009949774,-3.626689077322708
6,600,1.5894567966461182,71.144264,0.008658684,2.5362737,7.728761,0.000993978,-2.618275338214087
7,700,1.5771784782409668,69.38695,0.0147772,2.242108,13.319464,0.0009929795,-2.0452633181026814
8,800,1.61171293258667,82.31941,0.019549254,2.1712525,28.018555,0.0009919821,-2.143875621999856
9,900,1.596423864364624,95.623825,0.015527056,3.3997495,10.614561,0.0009909855,-2.040591982822496
10,1000,1.5506837368011475,78.19152,0.015271695,2.407331,17.992973,0.0009899901,-1.613471466283395
11,1100,1.6937446594238281,58.90766,0.020118535,1.4666816,22.2205,0.0009889957,-1.9719430861003495
12,1200,1.6079299449920654,88.436935,0.026327856,2.3740852,29.058474,0.0009880022,-1.6129824034379134
13,1300,1.6191720962524414,71.70786,0.022303104,2.5230205,8.610046,0.0009870096,-2.2085450017571806
14,1400,1.6201817989349365,69.76493,0.019952027,2.2568138,13.3246355,0.0009860182,-2.6956057567960467
15,1500,1.6191155910491943,93.1373,0.020785796,2.5607376,29.098076,0.0009850276,-3.0066959514577842
16,1600,1.6331760883331299,80.28543,0.017965622,2.6697042,13.524857,0.0009840382,-2.63511976522365
17,1700,1.593230962753296,94.07467,0.026092911,3.1667604,14.879565,0.0009830497,-2.2093588931857853
18,1800,1.6175522804260254,64.659035,0.020527082,1.3473425,30.954937,0.0009820622,-2.459826340547612
19,1900,1.6051912307739258,78.62985,0.014723238,2.5230472,15.538945,0.0009810757,-2.191859519687447
20,2000,1.6497952938079834,54.744064,0.017687581,1.4802456,17.720234,0.0009800902,-2.5502186102918594
21,2100,1.7816591262817383,53.376717,0.022222653,1.4755082,16.466787,0.0009791057,-2.3632859437772753
22,2200,1.5925147533416748,62.730007,0.020909378,1.7781613,18.255066,0.0009781221,-2.2551129583065865
23,2300,1.6079931259155273,88.74582,0.022906745,2.6912801,21.440907,0.0009771396,-2.150684697625279
24,2400,1.5977025032043457,81.670906,0.015660355,2.0674891,29.968014,0.000976158,-2.3036258687538695
25,2500,1.629253625869751,52.147938,0.019378442,1.4300987,16.376091,0.0009751774,-2.0945617377004155
26,2600,1.5985453128814697,67.38287,0.0251726,2.221232,11.826906,0.0009741979,-2.1910542831820643
27,2700,1.6162068843841553,71.3865,0.013293492,2.603046,6.297061,0.0009732192,-1.856390994569633
28,2800,1.6151902675628662,85.244,0.015255347,2.0747793,33.35927,0.0009722416,-1.9156836122919136
29,2900,1.6246402263641357,61.580322,0.010180789,1.9717703,12.275882,0.000971265,-1.6189500542067106
30,3000,1.6838507652282715,78.36312,0.011102797,1.6156579,37.960575,0.00097028934,-1.4190964852743009
