,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate,r2
0,0,6.1335790157318115,624.1263,0.06061988,24.843973,2.9663746,0.0009999899,-1.804787553923199
1,100,3.1648993492126465,11.492111,0.014963643,0.45768863,0.034931082,0.0009989855,-1.5825654153874877
2,200,2.835554599761963,10.644416,0.0012090082,0.42540133,0.008172728,0.000997982,-0.4533614099537433
3,300,2.8416154384613037,7.291047,0.0001497456,0.2913227,0.007829762,0.0009969795,-0.2519227533623305
4,400,2.8306992053985596,7.5374217,0.00066244823,0.3012307,0.0059918524,0.0009959779,-0.06896006327491588
5,500,2.819179058074951,3.6786144,0.0005255702,0.14690976,0.005344868,0.0009949774,-0.016084677678264603
6,600,2.7912261486053467,2.4482963,0.00018950153,0.09779121,0.0033264388,0.000993978,0.038399836078713334
7,700,2.789928436279297,3.8241801,0.00032372188,0.15281937,0.0033721821,0.0009929795,0.04939349690231598
8,800,2.9491970539093018,2.273662,0.00020369387,0.09082826,0.0027517783,0.0009919821,0.04614831231768024
9,900,3.038017988204956,0.79837483,7.0381524e-05,0.0318443,0.0021969543,0.0009909855,0.0517574292038826
10,1000,2.8394386768341064,3.6883419,0.00035964837,0.1474417,0.0019398048,0.0009899901,0.027364463437877684
11,1100,3.160107374191284,3.1733513,0.00037189425,0.12680566,0.0028376763,0.0009889957,0.020032686340369366
12,1200,2.8768422603607178,0.9406714,0.00010206298,0.037534907,0.0021966791,0.0009880022,0.016006421290123418
13,1300,2.868441104888916,1.1268986,0.00011072562,0.044982936,0.0022145468,0.0009870096,0.011141740155782398
14,1400,2.8693130016326904,1.2565215,9.628608e-05,0.050170094,0.0021727744,0.0009860182,-0.0013426148955710815
15,1500,2.8798649311065674,1.4865328,0.00022498131,0.05937555,0.0019191344,0.0009850276,-0.0036044578798617444
16,1600,2.802870512008667,0.39913192,5.327842e-05,0.015887527,0.0018904693,0.0009840382,-0.0008020359739520089
17,1700,2.8371551036834717,1.969465,0.0001705517,0.07867359,0.0024545926,0.0009830497,-0.010027586620552142
18,1800,2.8533530235290527,0.4688498,3.338902e-05,0.018672897,0.001994,0.0009820622,-0.0008879989707935021
19,1900,2.851270914077759,0.50175273,5.537686e-05,0.019987507,0.0020096893,0.0009810757,-0.0023189813302324502
20,2000,2.921475648880005,0.7876507,8.546784e-05,0.031428773,0.0018458983,0.0009800902,-0.008440819487460782
21,2100,2.893521785736084,0.873463,0.00013256255,0.034844518,0.0022174693,0.0009791057,-0.0015712169332131598
22,2200,2.8863449096679688,0.12428849,8.19237e-06,0.004913306,0.0014476454,0.0009781221,-0.0006083330332240511
23,2300,2.747732162475586,1.236603,0.00020642197,0.049393635,0.001555624,0.0009771396,-0.0075952028703429875
24,2400,2.848135471343994,0.35201675,5.0268478e-05,0.014016926,0.0015433267,0.000976158,-0.003887634205563817
25,2500,2.830718517303467,0.6140812,0.00010317284,0.024498666,0.0015114119,0.0009751774,-0.002507537945021898
26,2600,2.861576795578003,0.28230184,3.4416847e-05,0.011227968,0.0015682181,0.0009741979,-0.006031619616143624
27,2700,2.8540375232696533,0.2774404,4.8335052e-05,0.011036419,0.0014815722,0.0009732192,-0.00800753316820857
28,2800,2.7944211959838867,0.9663432,0.000119743505,0.03858997,0.0014742464,0.0009722416,-0.006516515764583897
29,2900,2.8395638465881348,0.20584035,1.8159091e-05,0.008180465,0.0013105675,0.000971265,-0.003155806744926659
30,3000,2.878467082977295,0.5336014,9.0214315e-05,0.021273227,0.0016805081,0.00097028934,-0.003911347914345553
31,3100,2.960564613342285,0.7379291,2.240131e-05,0.029448673,0.001689823,0.00096931454,-0.003904058278703104
32,3200,2.868380069732666,0.79792374,0.00011450555,0.03186039,0.0012995134,0.0009683409,-0.007780481076863355
33,3300,2.820645332336426,0.4318754,5.9481896e-05,0.017218627,0.0013502465,0.0009673682,-0.010658945990702051
34,3400,2.84399151802063,0.12597519,1.7606979e-05,0.004989237,0.0012266472,0.0009663964,-0.013956153739217214
35,3500,2.855896472930908,0.19896801,2.021344e-05,0.007904972,0.0013234983,0.00096542574,-0.016667917013471367
36,3600,2.8326849937438965,0.88710356,9.808286e-05,0.035428155,0.0013015852,0.0009644559,-0.017952077101124342
37,3700,2.864654064178467,0.1965964,2.0444999e-05,0.007810982,0.0013014069,0.0009634871,-0.01833785592706194
38,3800,2.8938701152801514,0.5179801,6.570292e-05,0.020658975,0.0014400374,0.00096251926,-0.022201872036361703
39,3900,2.7380728721618652,0.19333546,2.3313281e-05,0.007684826,0.001191492,0.0009615524,-0.022498395272213978
40,4000,2.8243839740753174,0.63317776,0.00011150623,0.02526599,0.0014164887,0.0009605864,-0.021545181407959246
41,4100,2.8419363498687744,0.27604935,4.3483087e-05,0.010990375,0.001246486,0.00095962145,-0.024465404223526832
42,4200,2.7644546031951904,0.52708685,0.0001021258,0.02102146,0.0014482999,0.0009586575,-0.015552911811730574
43,4300,2.8435347080230713,0.07650408,1.2559664e-05,0.003009332,0.0012582167,0.00095769454,-0.0169770540129206
44,4400,3.3238091468811035,0.14332983,1.7761073e-05,0.005685131,0.0011837877,0.0009567325,-0.013504103266809286
45,4500,3.328918218612671,0.6235056,6.207503e-05,0.024884092,0.0013412186,0.0009557714,-0.013826120401923658
46,4600,3.149799346923828,0.15426637,2.206074e-05,0.0061238734,0.0011474768,0.00095481134,-0.014613656128751318
47,4700,2.793868064880371,0.09863151,1.3627003e-05,0.0038982364,0.0011619735,0.0009538522,-0.016395489812858655
48,4800,2.7111854553222656,0.23490931,4.7296722e-05,0.009344159,0.0012580422,0.00095289404,-0.008030815521874235
49,4900,2.6907126903533936,0.48055017,5.567746e-05,0.019160733,0.001476175,0.0009519368,-0.011033496095179007
50,5000,2.6953649520874023,0.095348135,1.2620343e-05,0.0037679733,0.001136183,0.0009509805,-0.011690129985948428
51,5100,2.7670416831970215,0.508452,7.3927506e-05,0.020278,0.0014281569,0.0009500252,-0.008684064329346874
52,5200,2.6732747554779053,0.47811478,5.1802588e-05,0.019072909,0.0012402612,0.0009490709,-0.0031967126320537886
53,5300,2.671945095062256,0.12679368,1.6981065e-05,0.005023352,0.0011928987,0.0009481176,0.0011840000796448091
